sampleA_part2	NC_006931	302098	99.605	506	2	0	1	506	5886	6391	0.0	926	302098	Eubalaena japonica	species
sampleA_part2	DQ095154	27606	99.209	506	4	0	1	506	526	1031	0.0	915	27606	Eubalaena glacialis	species
sampleA_part2	OP205169	160595	99.209	506	4	0	1	506	5885	6390	0.0	915	160595	Eubalaena australis	species
sampleA_part2	MN145938	27602	96.838	506	16	0	1	506	5890	6395	0.0	848	27602	Balaena mysticetus	species
sampleA_part2	AP006471	9764	90.457	503	48	0	1	503	5897	6399	0.0	665	9764	Eschrichtius robustus	species
sampleA_part2	NC_005271	9767	90.457	503	48	0	1	503	5897	6399	0.0	665	9767	Balaenoptera acutorostrata	species
sampleA_part2	AB201259	255365	90.258	503	49	0	1	503	5893	6395	0.0	660	255365	Balaenoptera brydei	species
sampleA_part2	AP006475	27604	89.921	506	51	0	1	506	5885	6390	0.0	654	27604	Caperea marginata	species
sampleA_part2	NC_007938	9769	89.921	506	51	0	1	506	5891	6396	0.0	654	9769	Balaenoptera edeni	species
sampleA_part2	FJ590425	9773	90.060	503	50	0	1	503	3124	3626	0.0	654	9773	Megaptera novaeangliae	species
sampleA_part2	KC572793	9770	90.060	503	50	0	1	503	6817	7319	0.0	654	9770	Balaenoptera physalus	species
sampleA_part2	PQ997938	2746895	90.060	503	50	0	1	503	5892	6394	0.0	654	2746895	Balaenoptera ricei	species
sampleA_part2	ON675349	9771	89.328	506	54	0	1	506	6305	6810	1.20e-177	638	9771	Balaenoptera musculus	species
sampleA_part2	MF409248	9768	89.463	503	53	0	1	503	5894	6396	1.20e-177	638	9768	Balaenoptera borealis	species
sampleA_part2	NC_006926	33556	89.264	503	54	0	1	503	5895	6397	5.60e-176	632	33556	Balaenoptera bonaerensis	species
sampleA_part2	AB201257	255217	88.735	506	57	0	1	506	5887	6392	1.21e-172	621	255217	Balaenoptera omurai	species
sampleA_part2	MW645456	74394	86.957	506	66	0	1	506	5890	6395	1.24e-157	571	74394	Mesoplodon grayi	species
sampleA_part2	OZ004775	9742	86.759	506	67	0	1	506	42802400	42802905	5.76e-156	566	9742	Phocoena phocoena	species
sampleA_part2	OQ554145	9749	86.561	506	68	0	1	506	5890	6395	2.68e-154	560	9749	Delphinapterus leucas	species
sampleA_part2	OZ205431	52113	86.561	506	66	1	1	506	1192235	1192738	9.64e-154	558	52113	Mesoplodon mirus	species
