sampleD_part2	JX454969	27794	96.190	525	20	0	1	525	5929	6453	0.0	891	27794	Dermochelys coriacea	species
sampleD_part2	JX454980	27787	86.667	525	70	0	1	525	5918	6442	2.03e-170	614	27787	Eretmochelys imbricata	species
sampleD_part2	NC_018550	27790	86.286	525	72	0	1	525	5939	6463	4.39e-167	603	27790	Natator depressus	species
sampleD_part2	LR697082	569598	85.932	526	72	2	1	525	5887	6411	9.50e-164	592	569598	Stigmochelys pardalis	species
sampleD_part2	JX454976	8469	85.905	525	74	0	1	525	5925	6449	9.50e-164	592	8469	Chelonia mydas	species
sampleD_part2	LC574978	204960	85.524	525	76	0	1	525	5946	6470	2.06e-160	580	204960	Geoemyda japonica	species
sampleD_part2	LR697065	180177	85.361	526	75	2	1	525	5883	6407	9.57e-159	575	180177	Cylindraspis triserrata	species
sampleD_part2	MG912793	1137937	85.115	524	78	0	1	524	10485	9962	1.60e-156	568	1137937	Chelonoidis duncanensis	species
sampleD_part2	MT017691	66189	85.221	521	77	0	1	521	5363	5883	1.60e-156	568	66189	Chelonoidis niger	species
sampleD_part2	OM719686	1129807	85.221	521	77	0	1	521	5926	6446	1.60e-156	568	1129807	Chelonoidis phantasticus	species
